时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	温度(°C)	版本号()	电量(%)
2024-10-9 17:37:16:713	HC-06(556C659059FE)	-0.000	0.014	1.004	-0.671	0.000	-15.930	0.57	-0.19	-24.68	33.6	18258	30
2024-10-9 17:37:16:715	HC-06(556C659059FE)	-0.025	0.001	0.992	0.671	-0.244	-16.479	0.57	-0.19	-24.84	33.7	18258	30
2024-10-9 17:37:16:716	HC-06(556C659059FE)	0.000	0.017	1.007	-0.366	-0.122	-17.395	0.57	-0.19	-25.02	33.8	18258	30
2024-10-9 17:37:16:716	HC-06(556C659059FE)	0.029	0.001	0.986	0.549	-0.244	-18.250	0.57	-0.19	-25.20	33.7	18258	30
2024-10-9 17:37:16:744	HC-06(556C659059FE)	0.007	0.019	1.006	0.122	-0.183	-17.395	0.58	-0.19	-25.37	33.6	18258	30
2024-10-9 17:37:16:745	HC-06(556C659059FE)	-0.022	0.003	0.992	-0.061	-0.061	-16.113	0.57	-0.19	-25.54	33.7	18258	30
2024-10-9 17:37:16:745	HC-06(556C659059FE)	0.031	0.008	1.003	0.000	0.000	-16.968	0.57	-0.18	-25.70	33.5	18258	30
2024-10-9 17:37:16:746	HC-06(556C659059FE)	-0.003	0.002	0.993	0.549	-0.305	-17.029	0.58	-0.18	-25.87	33.7	18258	30
2024-10-9 17:37:16:775	HC-06(556C659059FE)	-0.008	0.021	1.006	-0.366	0.000	-15.747	0.58	-0.18	-26.03	33.7	18258	30
2024-10-9 17:37:16:776	HC-06(556C659059FE)	-0.005	-0.009	0.986	0.488	-0.305	-16.663	0.57	-0.18	-26.20	33.9	18258	30
2024-10-9 17:37:16:805	HC-06(556C659059FE)	-0.004	0.016	1.012	-0.366	-0.122	-17.029	0.58	-0.18	-26.37	33.8	18258	30
2024-10-9 17:37:16:806	HC-06(556C659059FE)	0.035	-0.003	0.985	0.671	-0.244	-17.334	0.58	-0.18	-26.54	33.6	18258	30
2024-10-9 17:37:16:833	HC-06(556C659059FE)	-0.007	0.029	1.015	-0.061	-0.366	-17.456	0.58	-0.18	-26.71	33.7	18258	30
2024-10-9 17:37:16:836	HC-06(556C659059FE)	-0.025	-0.007	0.980	-0.061	-0.183	-17.395	0.58	-0.18	-26.89	33.8	18258	30
2024-10-9 17:37:16:837	HC-06(556C659059FE)	0.016	0.013	1.008	0.061	0.000	-19.165	0.58	-0.18	-27.08	33.8	18258	30
2024-10-9 17:37:16:893	HC-06(556C659059FE)	0.019	0.001	0.990	0.427	-0.183	-19.104	0.58	-0.18	-27.27	33.6	18258	30
2024-10-9 17:37:16:899	HC-06(556C659059FE)	-0.004	0.019	1.011	-0.305	0.000	-17.639	0.58	-0.18	-27.45	33.6	18258	30
2024-10-9 17:37:16:925	HC-06(556C659059FE)	-0.031	0.001	0.993	0.122	0.000	-17.090	0.58	-0.18	-27.62	33.7	18258	30
2024-10-9 17:37:17:13	HC-06(556C659059FE)	-0.002	0.014	1.009	-0.305	-0.061	-18.127	0.58	-0.18	-27.80	33.7	18258	30
2024-10-9 17:37:17:16	HC-06(556C659059FE)	-0.008	-0.005	0.987	0.549	-0.305	-19.287	0.58	-0.18	-27.99	33.7	18258	30
2024-10-9 17:37:17:17	HC-06(556C659059FE)	0.021	0.026	1.011	0.000	-0.122	-19.226	0.59	-0.17	-28.18	33.6	18258	30
2024-10-9 17:37:17:18	HC-06(556C659059FE)	0.026	-0.008	0.984	0.549	-0.244	-18.799	0.58	-0.17	-28.37	33.6	18258	30
