时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	温度(°C)	版本号()	电量(%)
2024-10-13 10:1:14:497	HC-06(556C659059FE)	0.287	0.251	0.979	-15.564	4.700	-5.066	-2.58	-1.12	111.34	28.5	18258	100
2024-10-13 10:1:14:498	HC-06(556C659059FE)	0.262	0.275	1.001	-22.339	8.484	-9.888	-2.75	-1.09	111.25	28.6	18258	100
2024-10-13 10:1:14:515	HC-06(556C659059FE)	0.178	0.228	1.001	-34.668	20.996	-15.808	-3.03	-0.97	111.10	28.6	18258	100
2024-10-13 10:1:14:515	HC-06(556C659059FE)	0.057	0.133	0.968	-44.434	33.447	-21.484	-3.41	-0.72	110.89	28.6	18258	100
2024-10-13 10:1:14:538	HC-06(556C659059FE)	-0.068	0.002	0.921	-47.913	37.842	-25.330	-3.84	-0.41	110.62	28.7	18258	100
2024-10-13 10:1:14:539	HC-06(556C659059FE)	-0.175	-0.110	0.907	-43.884	33.020	-25.696	-4.25	-0.13	110.34	28.6	18258	100
2024-10-13 10:1:14:540	HC-06(556C659059FE)	-0.233	-0.207	0.929	-33.508	20.508	-21.240	-4.58	0.05	110.09	28.5	18258	100
2024-10-13 10:1:14:540	HC-06(556C659059FE)	-0.265	-0.271	0.977	-8.423	-0.305	-11.780	-4.71	0.07	109.95	28.6	18258	100
2024-10-13 10:1:14:582	HC-06(556C659059FE)	-0.262	-0.260	1.044	28.198	-30.884	0.732	-4.50	-0.17	109.94	28.6	18258	100
2024-10-13 10:1:14:582	HC-06(556C659059FE)	-0.166	-0.187	1.129	68.604	-71.960	12.573	-3.91	-0.77	110.08	28.5	18258	100
2024-10-13 10:1:14:583	HC-06(556C659059FE)	0.065	-0.013	1.263	98.267	-115.845	19.958	-2.99	-1.80	110.33	28.6	18258	100
2024-10-13 10:1:14:635	HC-06(556C659059FE)	0.330	0.225	1.480	104.614	-139.893	21.729	-1.96	-3.13	110.60	28.5	18258	100
2024-10-13 10:1:14:635	HC-06(556C659059FE)	0.461	0.447	1.699	82.458	-118.774	15.320	-1.06	-4.37	110.81	28.5	18258	100
2024-10-13 10:1:14:636	HC-06(556C659059FE)	0.431	0.497	1.749	47.180	-72.815	6.836	-0.51	-5.19	110.91	28.6	18258	100
2024-10-13 10:1:14:636	HC-06(556C659059FE)	0.247	0.389	1.649	14.832	-7.141	-2.075	-0.25	-5.42	110.91	28.6	18258	100
2024-10-13 10:1:14:636	HC-06(556C659059FE)	0.085	0.211	1.353	-10.925	36.377	-6.958	-0.27	-5.15	110.85	28.6	18258	100
2024-10-13 10:1:14:637	HC-06(556C659059FE)	-0.033	0.033	1.088	-24.414	55.359	-8.911	-0.44	-4.63	110.76	28.7	18258	100
2024-10-13 10:1:14:650	HC-06(556C659059FE)	-0.102	-0.092	0.880	-31.616	55.359	-7.996	-0.71	-4.08	110.67	28.6	18258	100
2024-10-13 10:1:14:650	HC-06(556C659059FE)	-0.168	-0.166	0.753	-29.785	47.241	-4.089	-0.98	-3.59	110.60	28.6	18258	100
2024-10-13 10:1:14:651	HC-06(556C659059FE)	-0.234	-0.187	0.687	-21.545	34.058	0.854	-1.20	-3.21	110.59	28.7	18258	100
2024-10-13 10:1:14:697	HC-06(556C659059FE)	-0.253	-0.193	0.661	-7.446	9.216	5.798	-1.30	-3.04	110.64	28.6	18258	100
2024-10-13 10:1:14:697	HC-06(556C659059FE)	-0.189	-0.167	0.692	13.611	-23.010	9.277	-1.21	-3.18	110.73	28.6	18258	100
2024-10-13 10:1:14:698	HC-06(556C659059FE)	-0.075	-0.082	0.795	31.128	-48.340	11.414	-0.94	-3.57	110.84	28.6	18258	100
2024-10-13 10:1:14:727	HC-06(556C659059FE)	0.047	0.013	0.920	36.560	-59.448	11.658	-0.59	-4.12	110.97	28.6	18258	100
2024-10-13 10:1:14:728	HC-06(556C659059FE)	0.111	0.092	1.029	31.189	-52.002	9.155	-0.27	-4.63	111.07	28.7	18258	100
