时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	温度(°C)	版本号()	电量(%)
2024-10-13 9:57:57:823	HC-06(556C659059FE)	0.000	0.001	1.001	0.061	0.061	0.000	0.26	0.43	-103.51	26.6	18258	100
2024-10-13 9:57:57:824	HC-06(556C659059FE)	0.000	0.001	1.000	0.000	0.061	0.000	0.25	0.43	-103.51	26.5	18258	100
2024-10-13 9:57:57:824	HC-06(556C659059FE)	0.000	0.000	0.999	0.122	0.000	0.000	0.25	0.43	-103.51	26.6	18258	100
2024-10-13 9:57:57:847	HC-06(556C659059FE)	0.000	0.000	1.000	0.061	0.061	0.000	0.25	0.42	-103.50	26.7	18258	100
2024-10-13 9:57:57:849	HC-06(556C659059FE)	0.000	0.000	1.000	0.000	0.061	0.000	0.25	0.42	-103.50	26.7	18258	100
2024-10-13 9:57:57:850	HC-06(556C659059FE)	0.000	0.002	1.000	0.000	0.061	0.000	0.25	0.42	-103.50	26.5	18258	100
2024-10-13 9:57:57:851	HC-06(556C659059FE)	0.000	0.001	0.999	0.000	0.061	0.000	0.25	0.42	-103.49	26.5	18258	100
2024-10-13 9:57:57:877	HC-06(556C659059FE)	0.000	0.000	0.999	0.000	0.000	0.000	0.25	0.41	-103.49	26.5	18258	100
2024-10-13 9:57:57:878	HC-06(556C659059FE)	0.000	0.000	1.000	0.000	0.061	0.000	0.25	0.41	-103.49	26.6	18258	100
2024-10-13 9:57:57:879	HC-06(556C659059FE)	0.000	0.000	1.000	0.000	0.061	0.000	0.25	0.41	-103.48	26.4	18258	100
2024-10-13 9:57:57:880	HC-06(556C659059FE)	-0.000	0.000	0.999	0.000	0.000	0.000	0.25	0.41	-103.48	26.5	18258	100
2024-10-13 9:57:57:907	HC-06(556C659059FE)	0.000	0.001	0.998	0.061	0.000	0.000	0.25	0.41	-103.47	26.5	18258	100
2024-10-13 9:57:57:908	HC-06(556C659059FE)	0.000	0.001	1.000	0.000	0.000	0.000	0.25	0.40	-103.47	26.6	18258	100
2024-10-13 9:57:57:910	HC-06(556C659059FE)	0.000	0.001	0.999	0.000	0.000	0.000	0.25	0.40	-103.47	26.5	18258	100
2024-10-13 9:57:57:910	HC-06(556C659059FE)	-0.001	0.000	0.999	0.000	0.000	0.000	0.24	0.40	-103.47	26.5	18258	100
2024-10-13 9:57:57:937	HC-06(556C659059FE)	0.000	0.002	0.999	0.000	0.000	0.000	0.24	0.40	-103.46	26.4	18258	100
2024-10-13 9:57:57:938	HC-06(556C659059FE)	0.000	0.002	0.999	0.061	0.000	0.000	0.24	0.40	-103.46	26.6	18258	100
2024-10-13 9:57:57:939	HC-06(556C659059FE)	0.000	0.001	0.997	0.000	0.000	0.000	0.24	0.39	-103.46	26.6	18258	100
2024-10-13 9:57:57:968	HC-06(556C659059FE)	0.000	0.002	1.000	0.061	0.000	0.000	0.24	0.39	-103.45	26.6	18258	100
2024-10-13 9:57:57:996	HC-06(556C659059FE)	0.000	0.001	0.999	0.000	0.000	0.000	0.24	0.38	-103.45	26.6	18258	100
2024-10-13 9:57:57:997	HC-06(556C659059FE)	0.000	0.000	0.999	0.000	0.000	0.000	0.24	0.38	-103.45	26.6	18258	100
2024-10-13 9:57:57:999	HC-06(556C659059FE)	0.000	0.001	1.000	0.000	0.000	0.000	0.24	0.38	-103.45	26.6	18258	100
2024-10-13 9:57:58:1	HC-06(556C659059FE)	0.000	0.001	1.000	0.000	0.000	0.000	0.24	0.38	-103.44	26.6	18258	100
2024-10-13 9:57:58:1	HC-06(556C659059FE)	0.001	0.000	0.998	0.000	0.000	0.000	0.24	0.38	-103.44	26.5	18258	100
2024-10-13 9:57:58:57	HC-06(556C659059FE)	0.000	0.001	0.998	0.000	0.000	0.000	0.24	0.37	-103.44	26.6	18258	100
2024-10-13 9:57:58:58	HC-06(556C659059FE)	0.002	0.001	1.000	0.000	0.000	0.000	0.24	0.37	-103.44	26.5	18258	100
2024-10-13 9:57:58:58	HC-06(556C659059FE)	0.000	-0.000	1.001	0.000	0.000	0.000	0.23	0.37	-103.43	26.5	18258	100
2024-10-13 9:57:58:59	HC-06(556C659059FE)	-0.000	0.000	0.999	0.000	0.000	0.000	0.23	0.37	-103.43	26.7	18258	100
2024-10-13 9:57:58:87	HC-06(556C659059FE)	-0.001	0.001	0.999	0.000	0.000	0.000	0.23	0.36	-103.43	26.5	18258	100
2024-10-13 9:57:58:87	HC-06(556C659059FE)	-0.001	0.003	1.000	0.000	0.000	0.000	0.23	0.36	-103.43	26.6	18258	100
2024-10-13 9:57:58:124	HC-06(556C659059FE)	-0.002	0.002	0.998	0.000	0.000	0.000	0.23	0.36	-103.42	26.5	18258	100
2024-10-13 9:57:58:125	HC-06(556C659059FE)	-0.000	0.001	0.999	0.000	0.000	0.000	0.23	0.36	-103.42	26.5	18258	100
2024-10-13 9:57:58:207	HC-06(556C659059FE)	0.001	0.001	0.999	0.000	0.000	0.000	0.23	0.36	-103.41	26.5	18258	100
2024-10-13 9:57:58:208	HC-06(556C659059FE)	0.002	0.001	0.999	0.000	0.000	0.000	0.23	0.35	-103.41	26.6	18258	100
2024-10-13 9:57:58:208	HC-06(556C659059FE)	0.002	0.001	1.000	0.000	0.000	0.000	0.23	0.35	-103.41	26.5	18258	100
2024-10-13 9:57:58:209	HC-06(556C659059FE)	0.001	0.000	1.000	0.000	0.000	0.000	0.23	0.35	-103.41	26.5	18258	100
2024-10-13 9:57:58:237	HC-06(556C659059FE)	-0.000	0.000	1.000	0.000	0.000	0.000	0.23	0.35	-103.40	26.6	18258	100
2024-10-13 9:57:58:237	HC-06(556C659059FE)	-0.002	0.001	0.999	0.000	0.000	0.000	0.23	0.35	-103.40	26.6	18258	100
2024-10-13 9:57:58:238	HC-06(556C659059FE)	-0.002	0.001	0.999	0.000	0.000	0.000	0.22	0.34	-103.40	26.5	18258	100
2024-10-13 9:57:58:239	HC-06(556C659059FE)	-0.002	0.000	0.998	0.000	0.000	0.000	0.22	0.34	-103.40	26.6	18258	100
2024-10-13 9:57:58:240	HC-06(556C659059FE)	-0.001	0.000	0.999	0.000	0.000	0.000	0.22	0.34	-103.39	26.5	18258	100
2024-10-13 9:57:58:269	HC-06(556C659059FE)	0.001	0.000	1.000	0.000	0.000	0.000	0.22	0.34	-103.39	26.6	18258	100
2024-10-13 9:57:58:270	HC-06(556C659059FE)	0.003	-0.000	0.999	0.000	0.000	0.000	0.22	0.34	-103.39	26.6	18258	100
2024-10-13 9:57:58:270	HC-06(556C659059FE)	0.002	0.001	0.998	0.000	0.000	0.000	0.22	0.34	-103.39	26.5	18258	100
2024-10-13 9:57:58:271	HC-06(556C659059FE)	0.002	0.000	1.000	0.000	0.000	0.000	0.21	0.33	-103.38	26.6	18258	100
2024-10-13 9:57:58:327	HC-06(556C659059FE)	-0.000	0.001	0.999	0.000	0.000	0.000	0.21	0.33	-103.38	26.7	18258	100
2024-10-13 9:57:58:328	HC-06(556C659059FE)	-0.001	0.001	0.998	0.000	0.000	0.000	0.21	0.32	-103.38	26.5	18258	100
2024-10-13 9:57:58:329	HC-06(556C659059FE)	-0.003	0.001	0.999	0.000	0.000	0.000	0.21	0.32	-103.38	26.7	18258	100
2024-10-13 9:57:58:330	HC-06(556C659059FE)	-0.002	0.002	0.999	0.000	0.000	0.000	0.21	0.32	-103.37	26.5	18258	100
2024-10-13 9:57:58:357	HC-06(556C659059FE)	-0.001	0.002	1.000	0.000	0.000	0.000	0.21	0.32	-103.37	26.6	18258	100
2024-10-13 9:57:58:357	HC-06(556C659059FE)	-0.000	0.001	1.000	0.000	0.000	0.000	0.21	0.32	-103.36	26.7	18258	100
2024-10-13 9:57:58:358	HC-06(556C659059FE)	0.003	0.003	1.001	0.000	0.000	0.000	0.21	0.32	-103.36	26.6	18258	100
2024-10-13 9:57:58:359	HC-06(556C659059FE)	0.003	0.002	1.002	0.000	0.000	0.000	0.21	0.31	-103.36	26.6	18258	100
2024-10-13 9:57:58:423	HC-06(556C659059FE)	0.003	0.002	1.002	0.000	0.000	0.000	0.21	0.31	-103.36	26.5	18258	100
2024-10-13 9:57:58:424	HC-06(556C659059FE)	0.001	0.001	1.002	0.000	0.000	0.000	0.21	0.31	-103.36	26.6	18258	100
2024-10-13 9:57:58:425	HC-06(556C659059FE)	-0.001	0.000	1.000	0.000	0.000	0.000	0.21	0.31	-103.35	26.6	18258	100
2024-10-13 9:57:58:425	HC-06(556C659059FE)	-0.002	0.000	0.999	0.000	0.000	0.000	0.21	0.31	-103.35	26.6	18258	100
2024-10-13 9:57:58:425	HC-06(556C659059FE)	-0.002	0.000	0.997	0.000	0.000	0.000	0.20	0.31	-103.35	26.5	18258	100
2024-10-13 9:57:58:447	HC-06(556C659059FE)	-0.002	0.001	0.999	0.000	0.000	0.000	0.20	0.30	-103.35	26.4	18258	100
2024-10-13 9:57:58:448	HC-06(556C659059FE)	-0.000	0.001	0.998	0.000	0.000	0.000	0.20	0.30	-103.34	26.6	18258	100
2024-10-13 9:57:58:450	HC-06(556C659059FE)	0.001	0.000	0.998	0.000	0.000	0.000	0.20	0.30	-103.34	26.6	18258	100
2024-10-13 9:57:58:451	HC-06(556C659059FE)	0.002	0.000	0.997	0.000	0.000	0.000	0.20	0.30	-103.34	26.4	18258	100
2024-10-13 9:57:58:477	HC-06(556C659059FE)	0.002	0.001	0.998	0.000	0.000	0.000	0.20	0.30	-103.34	26.5	18258	100
2024-10-13 9:57:58:477	HC-06(556C659059FE)	0.001	0.000	0.998	0.000	0.000	0.000	0.20	0.30	-103.34	26.5	18258	100
2024-10-13 9:57:58:478	HC-06(556C659059FE)	0.000	0.002	0.999	0.000	0.000	0.000	0.20	0.29	-103.33	26.6	18258	100
2024-10-13 9:57:58:479	HC-06(556C659059FE)	0.000	0.002	0.998	0.000	0.000	0.000	0.20	0.29	-103.33	26.5	18258	100
2024-10-13 9:57:58:507	HC-06(556C659059FE)	-0.002	0.002	0.999	0.000	0.000	0.000	0.20	0.29	-103.33	26.5	18258	100
2024-10-13 9:57:58:509	HC-06(556C659059FE)	-0.002	0.001	1.000	0.000	0.000	0.000	0.20	0.29	-103.33	26.6	18258	100
2024-10-13 9:57:58:510	HC-06(556C659059FE)	0.000	0.001	1.001	0.000	0.000	0.000	0.20	0.29	-103.33	26.4	18258	100
2024-10-13 9:57:58:510	HC-06(556C659059FE)	0.000	0.001	1.001	0.000	0.000	0.000	0.20	0.29	-103.32	26.5	18258	100
2024-10-13 9:57:58:537	HC-06(556C659059FE)	0.000	0.000	1.000	0.000	0.000	0.000	0.20	0.28	-103.32	26.5	18258	100
2024-10-13 9:57:58:537	HC-06(556C659059FE)	0.001	0.000	1.001	0.000	0.000	0.000	0.19	0.28	-103.32	26.7	18258	100
2024-10-13 9:57:58:538	HC-06(556C659059FE)	0.002	0.001	1.000	0.000	0.000	0.000	0.19	0.28	-103.32	26.5	18258	100
2024-10-13 9:57:58:539	HC-06(556C659059FE)	0.002	0.000	1.000	0.000	0.000	0.000	0.19	0.27	-103.32	26.5	18258	100
2024-10-13 9:57:58:540	HC-06(556C659059FE)	0.000	0.000	0.998	0.000	0.000	0.000	0.19	0.27	-103.31	26.5	18258	100
2024-10-13 9:57:58:568	HC-06(556C659059FE)	-0.000	0.001	0.998	0.000	0.000	0.000	0.19	0.27	-103.31	26.6	18258	100
2024-10-13 9:57:58:569	HC-06(556C659059FE)	-0.001	0.002	0.999	0.000	0.000	0.000	0.19	0.27	-103.31	26.5	18258	100
2024-10-13 9:57:58:569	HC-06(556C659059FE)	0.000	0.003	0.998	0.000	0.000	0.000	0.19	0.27	-103.30	26.4	18258	100
2024-10-13 9:57:58:571	HC-06(556C659059FE)	0.000	0.001	0.998	0.000	0.000	0.000	0.19	0.27	-103.30	26.6	18258	100
2024-10-13 9:57:58:598	HC-06(556C659059FE)	0.000	0.001	0.999	0.000	0.000	0.000	0.19	0.26	-103.30	26.5	18258	100
2024-10-13 9:57:58:599	HC-06(556C659059FE)	0.001	0.002	1.000	0.000	0.000	0.000	0.19	0.26	-103.30	26.7	18258	100
2024-10-13 9:57:58:656	HC-06(556C659059FE)	0.002	0.002	0.999	0.000	0.000	0.000	0.19	0.26	-103.30	26.5	18258	100
2024-10-13 9:57:58:658	HC-06(556C659059FE)	0.001	0.003	1.001	0.000	0.000	0.000	0.19	0.26	-103.29	26.7	18258	100
2024-10-13 9:57:58:658	HC-06(556C659059FE)	0.000	0.002	1.000	0.000	0.000	0.000	0.19	0.26	-103.29	26.5	18258	100
2024-10-13 9:57:58:660	HC-06(556C659059FE)	0.000	0.001	1.000	0.000	0.000	0.000	0.19	0.26	-103.29	26.6	18258	100
2024-10-13 9:57:58:662	HC-06(556C659059FE)	-0.000	0.002	1.000	0.000	0.000	0.000	0.19	0.26	-103.29	26.5	18258	100
2024-10-13 9:57:58:718	HC-06(556C659059FE)	0.000	0.002	0.999	0.000	0.000	0.000	0.19	0.25	-103.29	26.4	18258	100
2024-10-13 9:57:58:719	HC-06(556C659059FE)	0.000	0.001	0.999	0.000	0.000	0.000	0.19	0.25	-103.28	26.5	18258	100
2024-10-13 9:57:58:747	HC-06(556C659059FE)	0.000	0.000	0.998	0.000	0.000	0.000	0.19	0.25	-103.28	26.7	18258	100
2024-10-13 9:57:58:749	HC-06(556C659059FE)	0.000	0.000	0.999	0.000	0.000	0.000	0.19	0.25	-103.28	26.6	18258	100
2024-10-13 9:57:58:750	HC-06(556C659059FE)	0.001	0.000	0.999	0.000	0.000	0.000	0.18	0.25	-103.28	26.5	18258	100
2024-10-13 9:57:58:751	HC-06(556C659059FE)	0.001	0.000	1.000	0.000	0.000	0.000	0.18	0.25	-103.28	26.6	18258	100
2024-10-13 9:57:58:777	HC-06(556C659059FE)	0.002	0.001	0.999	0.000	0.000	0.000	0.18	0.24	-103.28	26.4	18258	100
2024-10-13 9:57:58:778	HC-06(556C659059FE)	0.002	0.000	1.001	0.000	0.000	0.000	0.18	0.24	-103.27	26.5	18258	100
