时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	温度(°C)	版本号()	电量(%)
2024-10-13 9:59:21:820	HC-06(556C659059FE)	0.124	-0.026	0.931	-2.319	2.380	-13.306	-3.94	-7.44	-108.86	27.2	18258	100
2024-10-13 9:59:21:820	HC-06(556C659059FE)	0.111	-0.032	0.935	-2.686	2.197	-14.221	-3.94	-7.43	-109.01	27.2	18258	100
2024-10-13 9:59:21:847	HC-06(556C659059FE)	0.111	-0.035	0.939	-2.502	0.366	-14.832	-3.94	-7.43	-109.15	27.2	18258	100
2024-10-13 9:59:21:848	HC-06(556C659059FE)	0.108	-0.034	0.940	-1.831	-0.977	-15.381	-3.93	-7.44	-109.31	27.2	18258	100
2024-10-13 9:59:21:849	HC-06(556C659059FE)	0.107	-0.030	0.943	-2.136	-1.038	-15.320	-3.92	-7.46	-109.46	27.3	18258	100
2024-10-13 9:59:21:850	HC-06(556C659059FE)	0.101	-0.027	0.947	-3.662	-0.610	-15.137	-3.92	-7.48	-109.61	27.3	18258	100
2024-10-13 9:59:21:851	HC-06(556C659059FE)	0.098	-0.027	0.957	-5.615	-0.671	-15.015	-3.94	-7.49	-109.76	27.4	18258	100
2024-10-13 9:59:21:877	HC-06(556C659059FE)	0.102	-0.030	0.968	-6.836	-0.305	-14.465	-3.98	-7.50	-109.91	27.2	18258	100
2024-10-13 9:59:21:878	HC-06(556C659059FE)	0.104	-0.032	0.980	-7.507	0.549	-14.038	-4.02	-7.50	-110.06	27.4	18258	100
2024-10-13 9:59:21:879	HC-06(556C659059FE)	0.104	-0.030	0.988	-6.836	1.343	-14.038	-4.06	-7.49	-110.20	27.1	18258	100
2024-10-13 9:59:21:880	HC-06(556C659059FE)	0.104	-0.025	0.986	-5.188	1.099	-13.977	-4.09	-7.49	-110.34	27.3	18258	100
2024-10-13 9:59:21:907	HC-06(556C659059FE)	0.113	-0.013	0.980	-3.784	-0.122	-13.855	-4.10	-7.49	-110.48	27.3	18258	100
2024-10-13 9:59:21:909	HC-06(556C659059FE)	0.135	0.001	0.971	-3.418	-1.221	-13.794	-4.10	-7.50	-110.62	27.3	18258	100
2024-10-13 9:59:21:910	HC-06(556C659059FE)	0.144	0.015	0.965	-4.395	-0.488	-13.916	-4.10	-7.51	-110.75	27.2	18258	100
2024-10-13 9:59:21:911	HC-06(556C659059FE)	0.147	0.017	0.969	-6.897	1.282	-14.038	-4.13	-7.51	-110.90	27.1	18258	100
2024-10-13 9:59:21:937	HC-06(556C659059FE)	0.148	0.009	0.980	-9.338	3.052	-14.038	-4.18	-7.49	-111.04	27.2	18258	100
