时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	温度(°C)	版本号()	电量(%)
2024-10-9 17:17:13:543	HC-06(00:0C:BF:08:48:06)	0.012	0.002	1.000	-0.305	-0.122	15.686	-0.52	-0.63	-144.06	33.1	18258	10
2024-10-9 17:17:13:546	HC-06(00:0C:BF:08:48:06)	0.014	-0.008	1.000	-0.488	-0.061	15.991	-0.52	-0.63	-143.90	33.2	18258	10
2024-10-9 17:17:13:568	HC-06(00:0C:BF:08:48:06)	0.018	-0.005	0.994	-0.061	0.122	16.602	-0.52	-0.62	-143.73	33.2	18258	10
2024-10-9 17:17:13:570	HC-06(00:0C:BF:08:48:06)	-0.013	0.002	0.997	-0.183	-0.061	16.968	-0.52	-0.62	-143.56	33.2	18258	10
2024-10-9 17:17:13:586	HC-06(00:0C:BF:08:48:06)	0.028	-0.011	1.005	-0.244	0.305	16.907	-0.52	-0.62	-143.40	33.3	18258	10
2024-10-9 17:17:13:588	HC-06(00:0C:BF:08:48:06)	0.009	-0.023	0.990	-0.732	-0.427	18.433	-0.52	-0.62	-143.22	33.3	18258	10
2024-10-9 17:17:13:603	HC-06(00:0C:BF:08:48:06)	0.010	-0.004	0.991	0.061	0.122	19.531	-0.52	-0.62	-143.03	33.2	18258	10
2024-10-9 17:17:13:605	HC-06(00:0C:BF:08:48:06)	-0.026	0.024	1.001	0.122	0.000	18.982	-0.52	-0.62	-142.83	33.2	18258	10
2024-10-9 17:17:13:623	HC-06(00:0C:BF:08:48:06)	0.018	0.024	1.006	-0.732	-0.061	16.113	-0.52	-0.61	-142.66	33.3	18258	10
2024-10-9 17:17:13:625	HC-06(00:0C:BF:08:48:06)	0.018	-0.015	0.998	-0.183	0.000	15.991	-0.52	-0.62	-142.50	33.2	18258	10
2024-10-9 17:17:13:644	HC-06(00:0C:BF:08:48:06)	0.013	-0.015	0.992	-0.183	-0.061	17.334	-0.52	-0.61	-142.33	33.3	18258	10
2024-10-9 17:17:13:647	HC-06(00:0C:BF:08:48:06)	-0.002	0.026	0.995	0.061	0.183	17.395	-0.52	-0.61	-142.16	33.2	18258	10
2024-10-9 17:17:13:669	HC-06(00:0C:BF:08:48:06)	0.015	0.007	1.006	-0.183	0.061	16.296	-0.52	-0.60	-141.99	33.2	18258	10
2024-10-9 17:17:13:673	HC-06(00:0C:BF:08:48:06)	0.000	-0.008	0.996	-1.099	-0.854	16.357	-0.52	-0.60	-141.83	33.2	18258	10
2024-10-9 17:17:13:684	HC-06(00:0C:BF:08:48:06)	0.023	-0.017	1.000	0.610	0.854	17.212	-0.52	-0.60	-141.66	33.2	18258	10
2024-10-9 17:17:13:687	HC-06(00:0C:BF:08:48:06)	0.002	-0.010	0.988	0.122	0.244	18.677	-0.52	-0.60	-141.48	33.3	18258	10
2024-10-9 17:17:13:706	HC-06(00:0C:BF:08:48:06)	0.011	-0.005	0.998	-0.366	-0.244	19.104	-0.52	-0.59	-141.28	33.2	18258	10
2024-10-9 17:17:13:713	HC-06(00:0C:BF:08:48:06)	0.000	0.017	1.001	-0.183	0.122	18.555	-0.52	-0.59	-141.10	33.3	18258	10
2024-10-9 17:17:13:724	HC-06(00:0C:BF:08:48:06)	0.017	-0.001	1.002	-0.061	0.122	18.005	-0.52	-0.59	-140.92	33.2	18258	10
2024-10-9 17:17:13:726	HC-06(00:0C:BF:08:48:06)	0.003	0.000	0.997	-0.061	0.122	18.250	-0.52	-0.59	-140.73	33.3	18258	10
2024-10-9 17:17:13:742	HC-06(00:0C:BF:08:48:06)	0.017	-0.007	0.999	-0.488	-0.305	18.188	-0.52	-0.59	-140.55	33.3	18258	10
2024-10-9 17:17:13:744	HC-06(00:0C:BF:08:48:06)	-0.003	-0.017	0.997	-0.366	-0.122	19.592	-0.52	-0.59	-140.36	33.2	18258	10
2024-10-9 17:17:13:767	HC-06(00:0C:BF:08:48:06)	0.020	0.003	1.005	-0.183	-0.061	19.958	-0.52	-0.58	-140.16	33.3	18258	10
2024-10-9 17:17:13:769	HC-06(00:0C:BF:08:48:06)	0.002	0.018	0.991	-0.366	0.000	19.531	-0.52	-0.58	-139.97	33.3	18258	10
2024-10-9 17:17:13:786	HC-06(00:0C:BF:08:48:06)	0.012	0.004	0.997	-0.122	0.000	18.494	-0.52	-0.58	-139.78	33.2	18258	10
2024-10-9 17:17:13:789	HC-06(00:0C:BF:08:48:06)	0.006	0.012	1.000	0.122	0.122	17.822	-0.52	-0.58	-139.60	33.3	18258	10
2024-10-9 17:17:13:802	HC-06(00:0C:BF:08:48:06)	0.018	0.012	1.001	-0.366	-0.427	17.273	-0.52	-0.58	-139.42	33.2	18258	10
2024-10-9 17:17:13:804	HC-06(00:0C:BF:08:48:06)	0.001	0.006	0.995	-0.305	-0.183	16.846	-0.52	-0.58	-139.26	33.3	18258	10
2024-10-9 17:17:13:824	HC-06(00:0C:BF:08:48:06)	0.004	0.001	1.000	0.000	0.183	16.846	-0.52	-0.58	-139.09	33.3	18258	10
2024-10-9 17:17:13:828	HC-06(00:0C:BF:08:48:06)	0.003	0.009	0.998	-0.061	0.000	16.602	-0.51	-0.58	-138.92	33.3	18258	10
2024-10-9 17:17:13:845	HC-06(00:0C:BF:08:48:06)	0.013	0.016	0.996	-0.366	0.061	15.442	-0.51	-0.57	-138.76	33.2	18258	10
2024-10-9 17:17:13:847	HC-06(00:0C:BF:08:48:06)	0.007	0.006	0.996	-0.305	-0.061	14.648	-0.51	-0.57	-138.61	33.2	18258	10
2024-10-9 17:17:13:868	HC-06(00:0C:BF:08:48:06)	0.020	-0.012	1.000	-0.305	0.000	15.198	-0.51	-0.57	-138.47	33.2	18258	10
2024-10-9 17:17:13:871	HC-06(00:0C:BF:08:48:06)	0.000	-0.026	1.000	-0.183	-0.183	17.029	-0.51	-0.57	-138.30	33.3	18258	10
2024-10-9 17:17:13:883	HC-06(00:0C:BF:08:48:06)	0.009	-0.004	1.004	0.183	0.427	17.639	-0.51	-0.57	-138.12	33.1	18258	10
2024-10-9 17:17:13:886	HC-06(00:0C:BF:08:48:06)	0.000	0.011	1.000	0.000	-0.122	17.578	-0.51	-0.57	-137.94	33.3	18258	10
2024-10-9 17:17:13:924	HC-06(00:0C:BF:08:48:06)	-0.004	-0.008	0.994	-0.610	-0.244	17.212	-0.51	-0.57	-137.77	33.2	18258	10
2024-10-9 17:17:13:926	HC-06(00:0C:BF:08:48:06)	0.021	-0.010	0.998	-0.061	0.366	17.517	-0.51	-0.56	-137.60	33.2	18258	10
2024-10-9 17:17:13:928	HC-06(00:0C:BF:08:48:06)	0.000	-0.012	0.995	-0.549	-0.183	18.433	-0.51	-0.56	-137.42	33.3	18258	10
2024-10-9 17:17:13:931	HC-06(00:0C:BF:08:48:06)	0.011	0.000	1.011	-0.610	-0.305	18.982	-0.51	-0.56	-137.23	33.1	18258	10
2024-10-9 17:17:13:943	HC-06(00:0C:BF:08:48:06)	0.015	-0.006	0.993	0.610	1.282	19.531	-0.51	-0.55	-137.03	33.2	18258	10
2024-10-9 17:17:13:947	HC-06(00:0C:BF:08:48:06)	0.001	0.005	0.997	-0.488	-0.244	19.531	-0.51	-0.55	-136.83	33.2	18258	10
2024-10-9 17:17:13:965	HC-06(00:0C:BF:08:48:06)	0.009	0.022	0.994	-0.183	-0.061	18.433	-0.51	-0.55	-136.65	33.1	18258	10
2024-10-9 17:17:13:967	HC-06(00:0C:BF:08:48:06)	0.006	0.018	0.998	-0.122	0.000	17.700	-0.51	-0.55	-136.47	33.2	18258	10
2024-10-9 17:17:13:985	HC-06(00:0C:BF:08:48:06)	0.015	0.004	0.998	-0.366	-0.122	16.968	-0.51	-0.54	-136.30	33.2	18258	10
2024-10-9 17:17:13:986	HC-06(00:0C:BF:08:48:06)	0.002	0.002	1.001	-0.122	-0.122	17.273	-0.51	-0.54	-136.13	33.3	18258	10
2024-10-9 17:17:14:3	HC-06(00:0C:BF:08:48:06)	0.017	-0.001	0.995	0.000	0.061	16.968	-0.51	-0.54	-135.96	33.2	18258	10
2024-10-9 17:17:14:6	HC-06(00:0C:BF:08:48:06)	0.002	0.001	1.001	0.122	0.122	16.968	-0.51	-0.54	-135.79	33.1	18258	10
2024-10-9 17:17:14:23	HC-06(00:0C:BF:08:48:06)	0.004	0.006	0.998	-0.488	-0.122	16.174	-0.50	-0.54	-135.63	33.3	18258	10
2024-10-9 17:17:14:26	HC-06(00:0C:BF:08:48:06)	0.003	0.010	0.998	0.000	0.000	16.296	-0.50	-0.54	-135.46	33.2	18258	10
2024-10-9 17:17:14:66	HC-06(00:0C:BF:08:48:06)	0.016	-0.008	0.995	0.183	0.061	16.479	-0.49	-0.54	-135.30	33.1	18258	10
2024-10-9 17:17:14:67	HC-06(00:0C:BF:08:48:06)	0.003	-0.005	0.998	-0.549	-0.549	17.090	-0.49	-0.54	-135.13	33.2	18258	10
2024-10-9 17:17:14:71	HC-06(00:0C:BF:08:48:06)	0.000	-0.001	1.000	-0.244	-0.244	17.456	-0.49	-0.54	-134.96	33.2	18258	10
2024-10-9 17:17:14:75	HC-06(00:0C:BF:08:48:06)	-0.013	0.009	0.995	0.000	0.244	17.090	-0.49	-0.54	-134.78	33.2	18258	10
2024-10-9 17:17:14:82	HC-06(00:0C:BF:08:48:06)	0.029	-0.003	0.997	-0.610	-0.122	16.235	-0.49	-0.54	-134.62	33.3	18258	10
